EcosystemType,Paper,TimesMentioned,Reviewer,PaperType,PeerReview,Nation,OceanRegion,ResilienceCat,ResilienceOutcome,ResilienceResponse,GivenDefinitionResilience,ResilienceDefinition,StudyLength,DISTURBANCE COMPILED,DisturbType1,DisturbLength1,DisturbType2,DisturbLength2,DisturbancePeriodDescription,DisturbYRstart,DisturbYRend,RecoveryTime,FactorsContributingResilience,MostImportantFactor1,MostImportFactor2,FactorsPreventingResilience1,FactorsPreventingResilience2,Comments,prevResRE,prevRes2RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Schiel.2006,1,Kerry,NotRelevant,Yes,New Zealand,Pacific,,,,N/A,No,months (<1 yr),not climatic,Nutrient input/Pollution/Sedimentation,> 100 yrs,,,N/A,,,,N/A,Physical setting,,,,This paper is about sedimentation in NZ on intertidal reefs. They used lab and field experiments to look at the effects of sedimentation on survival of algal germlings and algal zygote attachment. Sediment affects attachment and survival.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Ling, MEPS, 2009",1,Laura,NotRelevant,Yes,Tasmania (Australia),Indian and Pacific Oceans,,,,,,,,,,,,,,,,,,,,,"This paper is not on kelps. It is a comparison of the growth, biometric, dietary and morphometric characteristics of C. rodgersii between macroalgal habitat and adjacent barrens to inform population dymics of the sea urchin within the newly extended range.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Hughes TP, Baird AH, Bellwood DR, Card M, Connolly SR, Folke C, Grosberg R, Hoegh-Guldberg O, Jackson JB, Kleypas J, et al.: Climate change, human impacts, and the resilience of coral reefs. Science 2003, 301:929-933.",2,Charlie,NotRelevant,Yes,Global,Tropics,,,,,,,>2 stressors,>2 stressors,Multiple scales,Habitat degradation,,1997 is discussed,,,,"discussed genetic variability, no take areas and enforcement, connectivity as important",Conservation and magement measures,Adequate recruitment/connectivity,Additional local anthropogenic stressors,,"This review paper is not a good example of resistence, recovery, and resilience. Rather, it discusses No Take Area's as the best effective strategy for local magement. Thus, this reference might serve as a discussion point for what are effective strategies for local maganement in preserving bright spots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,McClahan TR et al. (2012) Prioritizing key resilience indicators to support coral reef magement in a changing climate. PLOS One 7:e42884,1,Jennifer,NotRelevant,Yes,Global,,,,,,,,,,,,,,,,,,,,,,Description of factors to use in resilience assessments rather than study on resilience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"McLeod, IUCN, 2006",1,Jennifer,NotRelevant,No,,,,,,,No,,,,,,,,,,,,,,,,Review of factors affecting Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Feagin, Conservation Letters, 2010 Shelter from the storm? Use and misuse of coastal vegetation bioshields for maging tural disasters",1,Jennifer,NotRelevant,Yes,Various  / India,Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Krauss, Ecosystems, 2010",1,Jennifer,NotRelevant,Yes,Federated States of Micronesia,Pacific,,,,,,6-10 yrs,,,,,,,,,,,,,,,"Study was on soil retention/loss, not resilience.  But does mention that mangrove cutting increased soil loss.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,Ray.etal.2011,1,Robin,NotRelevant,Yes,"Sundarbans, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Sanders, C.J. et al. (2012) Marine Environmental Research. Organic matter content and particle size modifications in mangrove sediments as responses to sea level rise",1,talie,NotRelevant,Yes,Brazil,Atlantic,,,,,,,,,,,,,,,,,,,,,Discusses efects physical drivers (sea level rise) on mangrove sediments but not disturbance to the organisms themselves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Soares, Estuarine, Coastal and Shelf Science, 2012 Southern limit of the Western South Atlantic mangroves: Assessment of the potential effects of global warming from a biogeographical perspective",1,talie,NotRelevant,Yes,Brazil,Atlantic,,,,,,,,,,,,,,,,,,,,,Discusses physical drivers of mangrove distribution but does not document any disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Alongi 2008. Mangrove forests- Resilience, protection from tsumis, and responses to global climate change. Est Coastal Shelf Sci 76: 1-13",3,talie,Review,Yes,Various,Various,,,,,,,,,,,,,,,,,,,,,This is a review and not a specific case - but references Ward 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Rockstrom, J., 2009, ture",1,Jennifer,NotRelevant,Yes,Global,,,,,,No,,,,,,,N/A,,,,,,,,,"The paper is a commentary on global planetary (not marine necessarily) tipping points that should not be crossed. These are climate change, biodiversity loss, changes to nitrogen/phosphorus cycles, ozone depletion, ocean acidification, fresh water use, change in land use, chemical pollution, and atmospheric aerosol loading.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,Cahoon and others- concept of elevation capital,1,Jennifer,NotRelevant,Yes,United States,,,,,,,,,,,,,,,,,,,,,,"Not sure I found right study as expert not specific, but concept doesn't seem very relevant and paper on topic is about wetland formation, not resilience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,Ecological Engineering vol: 25 entire issue,1,Jennifer,NotRelevant,Yes,,,,,,,,,,,,,,,,,,,,,,,I looked at titles for whole issue and not one was related to resilience.  Mostly on wastewater treatment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Roberts, J. Coastal Research 1997",1,Jennifer,NotRelevant,Yes,USA,Mississippi River Delta (Gulf of Mexico),,,,,,,,,,,,ongoing,,,,,,,,,"This paper was really not about salt marshes or resilience. However, there was one example given of a delta that had been deteriorating since the 1950's that has nwo been accreting because of a new sediment supply from a diversion from Mississippi river waters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"GASCÓN S, BRUCET S, BOIX D, SALA J & QUINTA X.D. 2007. Comparison of the effects of hydrological disturbance events on benthos and plankton salt marsh communities. Estuarine Coastal and Shelf Science, 74 (3): 419-428.",1,Jo,NotRelevant,Yes,Spain,Mediterranean,,,,,No,,Storms,Storms,hours-days (<1 week),,,Various times from 1997-99,1997,1999,,,,,,,The study compared community response of macrobenthos and zooplankton in different environments to hydrologic disturbance. Zooplankton (which have fast reaction times) show community patterns based on climatic conditions and less to their specific environment. As such they are resilient to hydological disturbances. Macrobenthos (which have slower reaction times) are more adapted to their habitats and are more severely affected by disturbance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"McKee, K.L., and W.H. Patrick. 1988. The relationship of smooth cordgrass (Sparti alterniflora) to tidal datums: A review. Estuaries 11: 143_151.",1,Jo,NotRelevant,Yes,United States,Atlantic and Gulf coast,,,,,No,,,,,,,,,,,,,,,,"This review paper looked at the relationship between distribution of Spartina alterniflora relative to the tidal level. Results suggest that the vertical distribution of S. alterniflora is primarily driven by the tidal range of a site, but other abiotic and biotic factors play a role as well. No mention of disturbance recovery or resilience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Mendelssohn, I.A., and J.T. Morris. 2000. Eco-physiological controls on the productivity of Sparti alterniflora Loisel. In Concepts and controversies in tidal marsh ecology, ed. M.P. Weinstein and D.A. Kreeger, 59_80. Dordrecht: Kluwer Academic.",1,Jo,NotRelevant,Yes,United States,Various,,,,,,,,,,,,,,,,,,,,,"This was a review paper looking at the mechanisms determining Sparti alterniflira prudoctuvity, particularly cycles related to soil anoxia, sulfide and salinity and ammonia uptake.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Badosa et al, Estuarine Coastal and Shelf Science, 2007",1,Robin,NotRelevant,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Gacia et al. MEPS (2012),1,Diana,NotRelevant,Yes,,,,,,,,,,,,,,,,,,,,,,,"Paper was about fish abundances, not about seagrasses--perhaps the paper is from a different year or a different journal?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Orth, R.J., Carruthers, T. J. B.,Dennison, W. C., Duarte, C.M., Fourqurean, J.W., Heck, Jr., K. L., Randall Hughes, A., Kendrick, G. A., Kenworthy, W. J.,Olyarnik, S., Short, F. T., Waycott, M., Williams, S. L. 2006. A global crisis for seagrass ecosystems. Bioscience 56(12): 987-996.",1,Diana,NotRelevant,Yes,,,,,,,,,,,,,,,,,,,,,,,"This paper only discussed seagrass losses and potential for restoration via management plans, but did not actually discuss seagrass restoration or resilience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Hale et al. Estuaries 2004,1,Jennifer,NotRelevant,Yes,USA,Atlantic,,,,,,6-10 yrs,not climatic,non climatic (habitat degredation),Ongoing,,,N/A,,,,N/A,,,,,about biological and landscape metrics to evaluate estuarine health. Not about seagrass per se or resilience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Reef MMP reports (seagrass) http://www.gbrmpa.gov.au,1,Jennifer,NotRelevant,No,Australia,Coral Sea,,,,,,,,,,,,,,,,,,,,,"Monitoring guide, not report on reslience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,Mcleod et al. (2011) Frontier in the Ecological Environment,1,Paul,NotRelevant,Yes,Many,Many,Recovery,No,,,,,non climatic (habitat degredation),non climatic (habitat degredation),,,,,,,,,,,Additional local anthropogenic stressors,,"This is a review paper on Carbon release and loss of carbon sinks, as result of mangrove deforestation. No instances given of lack of carbon release in spite of deforestation (not possible) so, instead is thorough review of amounts of carbon released as result of mangrove deforestation in different areas and forest types/sizes/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,rasher et al. 2013 Ecology,1,Nick,NotRelevant (restoration),Yes,Fiji,Pacific,Restoration,Yes,HabitatFormingSpp,,,1-5 yrs,not climatic,Fishing,ongoing,,,2010-2012,,,,Reef fish herbivory,Functional diversity/redundancy,,Additional local anthropogenic stressors,,"The authors used an observatiol study to show that macroalgae cover was low and coral cover high on reserve reefs compared with fished reefs, while the biomass and diversity of herbivorous fishes was highest in the reserves. They went on to experimentally transplant different species of macroalgae from fished reefs into the reserves to show that they were in fact consumed, and that while different species of herbivorous fish were important for tackling different species of algae (feeding complementarity), four species of fish accounted for 97% of the macroalgae removal. They next extracted chemicals from specific algae and painted them on the fronds of other species to confirm the chemical mechanism behind both the algal defenses and feeding specialities of the herbivores. Filly, they developed a variety of models to confirm the important role of herbivore diversity in controlling algal abundance on these reefs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Doherty, J. M., C. Callaway, and J. B. Zedler. 2011. Diversity-function relationships changed in a long-term restoration experiment. Ecological Applications 21: 2143-2155.",1,Robin,NotRelevant (restoration),Yes,United States,Tijuana Estuary,Restoration,Yes,HabitatFormingSpp,,,11-20 yrs,not climatic,non climatic (habitat degredation),Ongoing,,,Disturbance period was not given,,,11-20 yrs,,Conservation and magement measures,,,,"This was a restoration effort testing biodiversity - ecosystem function hypotheses.  Site is a dynamic estuary where increased flooding was altering habitat for endangered wildlife.  No real measure or mention of success was given, but all treatments converged on similar levels of function, thus I interpreted it to be a success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Geraldi MEPS 2013,1,Laura,NotRelevant (restoration),Yes,USA,Atlantic,Restoration,No,SessileInverts,,,6-10 yrs,,,,,,,,,,,,,,,"This paper discusses the results of a restoration exeriment (using marl mounds and hatchery-raised juvenile oysters set on recycled shell), aiming at indentifying factors facilitating restoration success. They conclude that that seeding does not enhance oyster reef restoration efforts in Pamlico Sound. Fincial resources used for oyster seed would be better used to increase the amount of substrate for oyster settlement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,schulte science 2009,1,Laura,NotRelevant (restoration),Yes,USA,Atlantic,Restoration,Yes,SessileInverts,,,1-5 yrs,,,,,,,,,,,,,,,"This paper discusses the results of a restoration exeriment, aiming at indentifying factors facilitating restoration success. They constructed tive oyster reefs of three types (high-relief, low-relief, and unrestored) in nine protected sanctuaries throughout the Great Wicomico River in Virginia, United States. Upon sampling in 2007 and 2009, they found a thriving metapopulation comprising 185 million oysters of various age classes. Oyster density was fourfold greater on high-relief than on low-relief reefs, explaining the failure of past attempts. Juvenile recruitment and reef accretion correlated with oyster density, facilitating reef development and population persistence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Reed.etal.2006,1,Kerry,Review,Yes,Various,Various,Recovery,Yes,HabitatFormingSpp,N/A,No,,Use kelp example Ladah 1999,,,,,,,,,,,,,,This is a review and discussion of metapopulation dymics of Giant Kelp. There are some references within the review that might be helpful. This review mentions that Giant Kelp can recover without immigration if benthic microscopic stages survive a disturbance. example is Ladah et al. 1999 in Baja.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Wilson SK, Graham J, Pratchett MS, Jones GP, Polunin NVC (2006) Multiple disturbances and the global degradation of coral reefs: are reef fishes at risk or resilient? Global Change Biology 12:2220-2234",1,Nick,Review,Yes,Global,Global meta-alysis,Resistance,No,Fish,,,1-5 yrs,>2 stressors,>2 stressors,,,,short term (<3 years of disturbance) responses assessed,,,,,,Adequate remaining biogenic habitat,Other,,Meta-alysis of impacts of habitat change on reef fish. Shows different groups of fish impacted based on their diet and body size. Loss of structural complexity of the reef more important that loss of live coral for most groups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Steneck RS et al. Env. Cons. 2002,3,Laura,Review,Yes,Various,Various,Recovery,No,HabitatFormingSpp,,No,,ENSO,ENSO,,Population explosions/extinctions,,Various,,,,"Fishing, deseases, other predators or any other factors controlling sea urchins; higher diversity of functiolly important species in kelp forests (e.g. increasing stability and resilience to species invasions)",Functional diversity/redundancy,,Additional local anthropogenic stressors,Additional local anthropogenic stressors,"Revovery was years - decades. This is a review focused on shifts from kelps to urchin barrens globally, therefore the focus is mainly on top down effects cascading through tropic webs. The authors conclude that magement should focus on minimizing fishing impacts and restoring populations of functiolly important species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,jackson et al 2001 Science,1,Jennifer,Review,Yes,Various,"Kelp Forests, Coral Reefs, Estuaries",Recovery,No,HabitatFormingSpp,N/A,No,> 100 yrs,>2 stressors,>2 stressors,,,,Various,,,,Lack of fishing,Conservation and magement measures,,Additional local anthropogenic stressors,,Long time series needed critical to evaluate recovery,Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Boudouresque C.F., Berrd G., Pergent G., Shili A., Verlaque M., 2009. Regression of Mediterranean seagrasses caused by natural processes and anthropogenic disturbances and stress: a critical review. Botanica Mari, 52: 395_418",1,Diana,Review,Yes,Mediterranean,Mediterranean,Recovery,Context-Dependent,HabitatFormingSpp,"""the greatest magnitude of the forcing that can be tolerated by the variable, so that the population or the ecosystem recovers to previous control values (GESAMP 1995).""",Yes,Ongoing,non climatic (coastal development),non climatic (coastal development),Ongoing,>2 stressors,Ongoing,1900-2009,1900,2009,decades (21-100 yrs),,Beneficial species interactions,Adequate recruitment/connectivity,Lack of adequate management,>2 factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Bjork, IUCN, 2008",1,Diana,Review,Yes,Global,Global,Recovery,Context-Dependent,HabitatFormingSpp,,,,>2 stressors,>2 stressors,,,,,,,,,Genetic diversity/adaptation,,Additional local anthropogenic stressors,,"This report lists ideas for promoting seagrass resilience, but does not explore these examples in depth. The papers cited as examples of resilience and recovery might be better examples to use in this literature review.",Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Montefalcone, Ecological Indicators (2009), Ecosystem health assessment using the Mediterranean seagrass Posidonia oceanica: A review.",1,Diana,Review,Yes,Various,Mediterranean,Recovery,Yes,HabitatFormingSpp,,No,,non climatic (fishing),non climatic (fishing),,Coastal development,,,,,1-5 yrs,,,,Additional local anthropogenic stressors,,"This review paper advocated for transitioning from a water quality-focused approach to assessing coastal ecosystems to an approach combining water quality and ecological indices (the Conservation Index, Substitution Index, and the Phase Shift Index). The paper discusses focusing on different levels (individual, population, community) and focuses specifically on one species, counting colonization by other seagrasses differently from maintained colonization of P. oceanica (the species of interest) differently from complete loss of all seagrasses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Garrido et al., 2013. Resilience and stability of Cymodocea nodosa seagrass meadows over the last four decades in a Mediterranean lagoon. Estuarine, Coastal and Shelf Science 130 (2013) 89-98.",1,Diana,Review,Yes,France,Mediterranean,Recovery,Yes,HabitatFormingSpp,,,Ongoing,>2 stressors,>2 stressors,Ongoing,>2 stressors,,1973-1994,1973,1994,Ongoing,mild temperatures in winter (February) and early spring (April); increased oxygen levels,,Physical setting,Additional global climatic stressors,,"Overall, there was a 49% regression in seagrass distribution from the early 1970s thru the early 1990s, then a 42% increase from the early 1990s to time of publishing. However, this study compares change over time through spshots of the environment and methodology was variable throughout the study, so the results may not be as accurate as desired.",Global stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Walker, D.I., Kendrick, G.A., McComb, A.J. 2006. Decline and recovery of seagrass ecosystems _ the dymics of change. In: Seagrass Biology (Eds. Larkum, AWD, Orth RJ and Duarte, C.) Elsevier",1,Kristy,Review,Yes,Various,Various,Recovery,Yes,HabitatFormingSpp,,No,,Storms,Storms,,,,,,,,Heterogeneous communities with faster-growing species in combination with mono-specific meadow-forming species and higher flushing rates,Functional diversity/redundancy,Genetic diversity/adaptation,Additional chronic disturbances,,"This is a review paper with multiple case studies, discussing patterns of seagrass loss and potential factors for resilience.",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Gilman, EL, Aquatic Botany, 2008",1,Jennifer,Review,Yes,Various,Various,Resistance,No,HabitatFormingSpp,,No,,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,Ongoing,,,,,,,,Conservation and magement measures,,,,Review indicating that most important factor for mangroves will be sea level rise (not keeping up).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,fagherazzi et al review of geophysics 2012,2,Jo,Review,Yes,Various,Various,Resistance,Context-Dependent,HabitatFormingSpp,,,Multiple scales,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,Multiple scales,,,,,,,"Based on review of others:
(1) High mineral sediment availability in marshes adjacent to tidal channels ebles faster adjustment to increased sea level compared to inetrior marshes (D'Alpaos, 2011)
(2) Estuarine marshes with low tidal ranges and little mineral sediment are more vulnerable to SLR (Reed, 1995)
(3) In absence of vegetation, feedback processes lead to rapid elevation loss that further precludes the return of vegetation (Delaune et al. 1994, Fagherazzi et al. 2006, Marani et al. 2007, Kirwan et al. 2008)
(4) Based on computer simulations, in the absence of dykes, marsh expansion could account for loss of saltmarsh due to SLR (Kirwan & Murray, 2008)",Sediment supply and tidal range,Adequate remaining biogenic habitat,Low mineral sediment supply and small tidal range,,"This review focused mainly on history of saltmarsh hydrogromorphologic modelling, discussing the shortcomings and strengths of different models, and identifying future work needed. Some examples of resilience or lack of resilience were given.",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Waycott, Great Barrier Reef Marine Park Authority and Australian Greenhouse Office, 2007",1,Diana,Review,No,Australia,Great Barrier Reef region,Resistance,Yes,HabitatFormingSpp,,,,>2 stressors,>2 stressors,,,,,,,,adaptation and recolonization,Genetic diversity/adaptation,Other,,,This book chapter summarizes factors impacting seagrass resilience and recovery to stressors. I think the citations may be more useful as specific examples of seagrass resilience and recovery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Foster and Schiel 2010 JEMBE 393,2,Laura,Review,Yes,USA,Pacific,ResistanceAndRecovery,Yes,HabitatFormingSpp,,,> 100 yrs,>2 stressors,>2 stressors,Various: - some were pulse events (el Ninos) while others were press disturbances (urban developments and seawage discharges),>2 stressors,Various: - some were pulse events (el Ninos) while others were press disturbances (urban developments and seawage discharges),repeated events over 100 years,,,1-5 yrs,"reduction of the stressors that caused the decline (mainly water quality that is coastal runoff, increased sedimentation, and contamition impact) Note: They contrast the prevailing view (e.g. Tegner & Dayton 1991) that urchin fishery contributes to resilience, based on their review they say it is the other way round (urchin fishery is abundant when kelp forests are healthy and provide more algal drift to feed the urchins)",Conservation and magement measures,,Additional local anthropogenic stressors,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)","this is a comphensive review of all the literature (from the early 1900s onwards) on the status of kelp forests along southern California coasts and the underlying processes that drive their structure. As such it covers all other papers from southern California. They focus on the severe declines in kelp forests near large metropolitan areas along the southern portion of the mainland coast of southern California, associated with coastal development, sedimentation and sewage outfalls. They conclude that recovery of kelp occurred when stressors were reduced, and there was no evidence for a general collapse of kelp forest structure or a permanent shift to a largely kelp-free state. They comment that it is remarkable that macrocystis is so robust and that kelp forests flourish in virtually all areas now that they occupied historically. The weedy life history of M. pyrifera ebles relatively quick replenishment of populations even after such major oceanographic events such as the 1982_83 El Ni_o that deforested large areas of kelp forest along the entire California coast.",Local stressors,Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Cort_s, J., C.E. Jim_nez, A.C. Fonseca & J.J. Alvarado. 2010. Status and conservation of coral reefs in Costa Rica. Revista de BiologÍa Tropical, 58 (Supplement 1): 33-50.",1,Charlie,Review,Yes,Costa Rica,Caribbean and Pacific,ResistanceAndRecovery,Yes,HabitatFormingSpp,N/A,No,11-20 yrs,ENSO,ENSO,1-5 yrs,Nutrient input/Pollution/Sedimentation,,1982-1983 / 1994 / 1997,,,1-5 yrs,"human protection, distance from human communities, limited sediment load, upwelling on hte Pacifc side",Physical setting,Conservation and magement measures,Additional local anthropogenic stressors,,Nice review of what occured simultaneoulsy in two different oceanic basins that affected Costa Rican coral reefs. Authors implied that cooled upwelled waters on the Pacific might have helped in resisting the ENSO and warming impacts.,Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Pergent et al., 2014. Climate change and Mediterranean seagrass meadows: a synopsis for environmental mager. Mediterranean Marine Science, in press",1,Diana,Review,Yes,Mediterranean,Mediterranean,ResistanceAndRecovery,Context-Dependent,HabitatFormingSpp,,No,Ongoing,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,Ongoing,Temperature,Ongoing,1985-2006,1985,2006,Ongoing,lack of strong anthropogenic pressures (pristine environments),Remoteness/low accessibility by humans,,Additional global climatic stressors,Additional local anthropogenic stressors,"This paper focuses on how seagrasses can mitigate the consequences of climate change through NPP. Some local and/or invasive seagrasses began to colonize areas where there were die-offs, but overall, there has been a decline in seagrass cover.",Global stressors,Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,"Beck, BioScience, 2011",1,Laura,Review,Yes,Global,Global,Recovery,Context-Dependent,SessileInverts,,,,non climatic (habitat degredation),non climatic (habitat degredation),Ongoing,,,centuries,,,Ongoing,conservation and restoration initiatives,Conservation and magement measures,,Additional local anthropogenic stressors,Lack of adequate management,This is a global review on the (poor) global status of oyster reefs. It focuses on options for the conservation of the few remaining populations and for restoration (as tural recovery of tive populations is not possible in many cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
